Row	original_taxon	Vernacular	Family	Order	SQS	Conservation status	Current conservation status	Designation summary	Larval feeding guild	Adult feeding guild	Broad biotope	Habitat	Resources	Specific assemblage type	Habitat score	Associations	Genus	subgenus	species	subspecies	Taxon
2937	Cheilosia velutina		Syrphidae	Diptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry				Cheilosia		velutina		Cheilosia velutina
2938	Cheilosia vernalis		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	herbivore	nectivore	open habitats	short sward & bare ground	habitats >> sward/field layer, soil humidity >> dry			Achillea, Sonchus	Cheilosia		vernalis		Cheilosia vernalis
2939	Cheilosia vicina		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> damp			Alchemilla, Alchemilla minima	Cheilosia		vicina		Cheilosia vicina
2940	Cheilosia vulpina		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> damp				Cheilosia		vulpina		Cheilosia vulpina
2941	Chrysogaster cemiteriorum		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	saprophagous	nectivore	wetland	acid & sedge peats; marshland; running water	drawdown zone: mud/shallow litter, seepages >> neutral/acid seepage, seepages >> unshaded seepage, shallow freshwater pond >> aquatic: well vegetated, wetland vegetation		seepage (acid-neutral): B		Chrysogaster		cemiteriorum		Chrysogaster cemiteriorum
2942	Chrysogaster solstitialis		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	saprophagous	nectivore	tree-associated; wetland	acid & sedge peats; running water; shaded woodland floor; wet woodland	conifer or broadleaved >> broadleaved only, drawdown zone: mud/shallow litter, humidity >> wet, seepages >> shaded seepage, seepages >> unshaded seepage, shadiness >> heavy shade, shallow freshwater pond >> aquatic: well vegetated, unmodified fast flowing streams, woodland stream		seepage (woodland): A	Fagales, Quercus	Chrysogaster		solstitialis		Chrysogaster solstitialis
2943	Chrysogaster virescens		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	saprophagous	nectivore	tree-associated; wetland	acid & sedge peats; running water; shaded woodland floor; wet woodland	base status >> acid, conifer or broadleaved >> broadleaved only, humidity >> wet, seepages >> neutral/acid seepage, seepages >> unshaded seepage, shadiness >> heavy shade, shallow freshwater pond >> aquatic: well vegetated, wetland vegetation, woodland stream		acid mire: C, seepage (acid-neutral): B, seepage (woodland): B	Fagales	Chrysogaster		virescens		Chrysogaster virescens
2944	Chrysotoxum arcuatum		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore	open habitats	tall sward & scrub; upland	base status >> acidic, habitats >> soil & roots, soil humidity >> dry			Aphididae, Formicidae	Chrysotoxum		arcuatum		Chrysotoxum arcuatum
2945	Chrysotoxum bicinctum		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore	open habitats	tall sward & scrub	habitats >> soil & roots, soil humidity >> dry			Aphididae	Chrysotoxum		bicinctum		Chrysotoxum bicinctum
2946	Chrysotoxum cautum		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore	open habitats	tall sward & scrub	habitats >> soil & roots, soil humidity >> damp			Aphididae	Chrysotoxum		cautum		Chrysotoxum cautum
2947	Chrysotoxum elegans	Zipperback	Syrphidae	Diptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	nectivore	open habitats	tall sward & scrub	habitats >> soil & roots, soil humidity >> damp		soft rock cliff: 3	Aphididae	Chrysotoxum		elegans		Chrysotoxum elegans
2948	Chrysotoxum festivum		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore	open habitats	short sward & bare ground; tall sward & scrub	nests >> ant nests, soil humidity >> dry			Lasius	Chrysotoxum		festivum		Chrysotoxum festivum
2949	Chrysotoxum octomaculatum	Broken-banded Wasp-hoverfly	Syrphidae	Diptera	16	EN; NR; Section 41 Priority Species	EN; Nationally Rare; S41. Priority Species	GB Rarity listing (1); IUCN Threat listing (1); Legal listing (1)	predator	nectivore	open habitats	tall sward & scrub	base status >> acidic, habitats >> soil & roots, soil humidity >> dry	F003		Formicidae	Chrysotoxum		octomaculatum		Chrysotoxum octomaculatum
2950	Chrysotoxum vernale		Syrphidae	Diptera	16	EN; NR	EN; Nationally Rare	GB Rarity listing (1); IUCN Threat listing (1)	predator	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry			Aphididae	Chrysotoxum		vernale		Chrysotoxum vernale
2951	Chrysotoxum verralli		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore	open habitats	tall sward & scrub	habitats >> soil & roots, soil humidity >> dry			Aphididae	Chrysotoxum		verralli		Chrysotoxum verralli
2952	Criorhina asilica		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	saprophagous	nectivore	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, decaying wood >> moist white rot, flowers (adult), heartrot >> hollow tree cavities, roots & underground wood >> sub decay	A211		Fagales	Criorhina		asilica		Criorhina asilica
2953	Criorhina berberina		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	saprophagous	nectivore	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, decaying wood >> moist white rot, flowers (adult), roots & underground wood >> sub decay	A211		Fagales	Criorhina		berberina		Criorhina berberina
2954	Criorhina floccosa		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	saprophagous	nectivore	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, decaying wood >> moist white rot, flowers (adult), roots & underground wood >> sub decay	A211		Fagales	Criorhina		floccosa		Criorhina floccosa
2955	Criorhina ranunculi		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	saprophagous	nectivore	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, decaying wood >> moist white rot, flowers (adult), roots & underground wood >> sub decay	A211		Fagales	Criorhina		ranunculi		Criorhina ranunculi
2956	Dasysyrphus albostriatus		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, flowers (adult)			Aphididae, Arthropoda, Fagales	Dasysyrphus		albostriatus		Dasysyrphus albostriatus
2957	Dasysyrphus friuliensis		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> conifer only, flowers (adult)			Aphididae, Larix, Picea	Dasysyrphus		friuliensis		Dasysyrphus friuliensis
2958	Dasysyrphus hilaris		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore						Aphididae	Dasysyrphus		hilaris		Dasysyrphus hilaris
2959	Dasysyrphus pinastri		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> conifer only, flowers (adult)			Abies, Aphididae, Picea, Pinus	Dasysyrphus		pinastri		Dasysyrphus pinastri
2960	Dasysyrphus tricinctus		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, flowers (adult)			Betula, Fagales, Lepidoptera, Picea, Symphyta	Dasysyrphus		tricinctus		Dasysyrphus tricinctus
2961	Dasysyrphus venustus sensu lato		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> conifer only, flowers (adult)				Dasysyrphus		venustus		Dasysyrphus venustus
2962	Didea alneti		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, flowers (adult)			Aphididae, Larix, Prunus, Quercus, Salix	Didea		alneti		Didea alneti
2963	Didea fasciata		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore	tree-associated	arboreal	canopy, flowers (adult)			Aphididae, Fagales	Didea		fasciata		Didea fasciata
2964	Didea intermedia		Syrphidae	Diptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> conifer only, flowers (adult)			Aphididae, Pinus	Didea		intermedia		Didea intermedia
2965	Doros profuges	Phantom Hoverfly	Syrphidae	Diptera	4	NS; NT; Section 41 Priority Species	Nationally Scarce; NT; S41. Priority Species	GB Rarity listing (1); IUCN Threat listing (1); Legal listing (1)	predator	nectivore	open habitats	tall sward & scrub	base status >> base rich, habitats >> soil & roots, soil humidity >> dry			Formicidae	Doros		profuges		Doros profuges
2966	Epistrophe diaphana		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore	tree-associated	arboreal	canopy, carr/wet woodland, conifer or broadleaved >> broadleaved only, flowers (adult)			Animalia, Fagales	Epistrophe		diaphana		Epistrophe diaphana
2967	Epistrophe eligans		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only, flowers (adult)			Aphididae, Euonymus, Malus, Prunus, Quercus, Sambucus	Epistrophe		eligans		Epistrophe eligans
2968	Epistrophe grossulariae		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, carr/wet woodland, conifer or broadleaved >> broadleaved only, flowers (adult)			Acer pseudoplatanus, Aphididae, Fagales	Epistrophe		grossulariae		Epistrophe grossulariae
2969	Epistrophe melanostoma		Syrphidae	Diptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only, flowers (adult)			Fagus, Quercus	Epistrophe		melanostoma		Epistrophe melanostoma
2970	Epistrophe nitidicollis		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only, flowers (adult)			Aphididae, Fagales	Epistrophe		nitidicollis		Epistrophe nitidicollis
2971	Epistrophe ochrostoma		Syrphidae	Diptera	8	DD; NR	DD; Nationally Rare	GB Rarity listing (1); IUCN Threat listing (1)	predator	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, flowers (adult)			Aphididae, Betula, Fraxinus, Salix	Epistrophe		ochrostoma		Epistrophe ochrostoma
2972	Episyrphus balteatus	Marmalade Hoverfly	Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry			Aphididae	Episyrphus		balteatus		Episyrphus balteatus
2973	Eriozona syrphoides		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> conifer only, flowers (adult)			Abies, Aphididae, Picea	Eriozona		syrphoides		Eriozona syrphoides
2974	Eristalinus aeneus		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	saprophagous	nectivore	coastal	brackish pools & ditches; rocky shore; saltmarsh	tidal litter				Eristalinus		aeneus		Eristalinus aeneus
2975	Eristalinus sepulchralis		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	saprophagous	nectivore	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: well vegetated		Wadensee Saltmarsh fidelity index: hal-1		Eristalinus		sepulchralis		Eristalinus sepulchralis
2976	Eristalis abusiva		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	saprophagous	nectivore	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: sparsely vegetated		seepage (acid-neutral): C		Eristalis		abusiva		Eristalis abusiva
2977	Eristalis arbustorum		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	saprophagous	nectivore	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: sparsely vegetated				Eristalis		arbustorum		Eristalis arbustorum
2978	Eristalis cryptarum	Bog Hoverfly	Syrphidae	Diptera	32	CR; NR; Section 41 Priority Species	CR; Nationally Rare; S41. Priority Species	GB Rarity listing (1); IUCN Threat listing (1); Legal listing (1)	saprophagous	nectivore	wetland	acid & sedge peats	base status >> acid, shallow freshwater pond, sphagnum/moss lawn	W312	acid mire: A, seepage (acid-neutral): A		Eristalis		cryptarum		Eristalis cryptarum
2979	Eristalis horticola		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	saprophagous	nectivore	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: sparsely vegetated				Eristalis		horticola		Eristalis horticola
2980	Eristalis intricaria		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	saprophagous	nectivore	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: sparsely vegetated				Eristalis		intricaria		Eristalis intricaria
2981	Eristalis nemorum		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	saprophagous	nectivore	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: sparsely vegetated				Eristalis		nemorum		Eristalis nemorum
2982	Eristalis pertinax		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	saprophagous	nectivore	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: sparsely vegetated				Eristalis		pertinax		Eristalis pertinax
2983	Eristalis rupium		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	saprophagous	nectivore	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: sparsely vegetated		seepage (acid-neutral): B		Eristalis		rupium		Eristalis rupium
2984	Eristalis similis		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	saprophagous	nectivore	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: sparsely vegetated				Eristalis		similis		Eristalis similis
2985	Eristalis tenax		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	saprophagous	nectivore	wetland	rich flower resource	nectar and/or pollen, shallow freshwater pond >> aquatic: sparsely vegetated				Eristalis		tenax		Eristalis tenax
2986	Eumerus funeralis		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> damp			Narcissus	Eumerus		funeralis		Eumerus funeralis
2987	Eumerus ornatus		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	herbivore	nectivore	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, humidity >> dry, shadiness >> light shade, woodland habitat			Asteraceae, Plantae	Eumerus		ornatus		Eumerus ornatus
2988	Eumerus sabulonum		Syrphidae	Diptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	herbivore	nectivore	open habitats	short sward & bare ground; tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry			Jasione montana	Eumerus		sabulonum		Eumerus sabulonum
2989	Eumerus strigatus	Lesser Bulb-Fly	Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> damp			Allium, Liliaceae	Eumerus		strigatus		Eumerus strigatus
2990	Eupeodes bucculatus		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry			Aphididae	Eupeodes		bucculatus		Eupeodes bucculatus
2991	Eupeodes corollae		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry			Aphididae	Eupeodes		corollae		Eupeodes corollae
2992	Eupeodes latifasciatus		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore	open habitats	tall sward & scrub	habitats >> litter & ground layer, habitats >> soil & roots, soil humidity >> damp			Aphididae	Eupeodes		latifasciatus		Eupeodes latifasciatus
2993	Eupeodes lundbecki		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry			Aphididae	Eupeodes		lundbecki		Eupeodes lundbecki
2994	Eupeodes luniger		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore	open habitats	short sward & bare ground; tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry			Aphididae	Eupeodes		luniger		Eupeodes luniger
2995	Eupeodes nielseni		Syrphidae	Diptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> conifer only, flowers (adult)			Aphididae, Pinus	Eupeodes		nielseni		Eupeodes nielseni
2996	Eupeodes nitens		Syrphidae	Diptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	herbivore;predator	nectivore	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, humidity >> damp, humidity >> dry, shadiness >> light shade, woodland habitat >> undergrowth			Aphididae, Cirsium, Plantae	Eupeodes		nitens		Eupeodes nitens
2997	Ferdinandea cuprea		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	saprophagous	nectivore	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, flowers (adult), sapwood & bark decay			Cossus cossus, Fraxinus, Quercus	Ferdinandea		cuprea		Ferdinandea cuprea
2998	Ferdinandea ruficornis		Syrphidae	Diptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	saprophagous	nectivore	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, flowers (adult), sapwood & bark decay	A212		Cossus cossus, Plantae	Ferdinandea		ruficornis		Ferdinandea ruficornis
