For further details, refer to the Master List sheet.	Recommended_taxon_name	Recommended_authority	Recommended_qualifier	Recommended_taxon_version	A: Bern Convention	C: Birds Directive	C1: Convention on Migratory Species	C2: OSPAR	D: Habitats Directive	E: EC Cites	F: Global Red list status	Fa: Red Listing based on pre 1994 IUCN guidelines	Fb: Red Listing based on 1994 IUCN guidelines	Fc: Red listing based on 2001 IUCN guidelines	Fd: Red data categories  - birds (not based on IUCN criteria)	Fe: Red data categories - Spiders (not based on IUCN criteria)	Ga: Rare and scarce species	Gb: Rare and scarce species (not based on IUCN criteria)	Ha: Biodiversity Action Plan UK list of priority species	Hb: Biodiversity Lists - England	Hc: Biodiversity Lists - Scotland	Hd: Biodiversity Lists - Wales	He: Biodiversity Lists - Northern Ireland	I: Wildlife and Countryside Act 1981	J: The Wildlife (Northern Ireland) Order 1985	K: The Conservation of Habitats and Species Regulations 2010	L: The Conservation (Nature Habitats, etc_) Regulations (NI) 199	M: Protection of Badgers Act
millipede	Siphonophoridae sp.		Eden A	NHMSYS0020977763										RedList_GB_post2001-NA														
millipede	Stosatea italica	(Latzel, 1886)		NBNSYS0000011362										RedList_GB_post2001-LC			NS-includes											
millipede	Tachypodoiulus niger	(Leach, 1814)		NHMSYS0020108490										RedList_GB_post2001-LC														
millipede	Thalassisobates littoralis	(Silvestri, 1903)		NBNSYS0000011374										RedList_GB_post2001-LC			NR-includes											
millipede	Trachysphaera lobata	(Ribaut, 1954)		NBNSYS0000011349										RedList_GB_post2001-VU			NR-includes		BAP-2007	England_NERC_S.41								
millipede	Unciger foetidus	(C.L. Koch, 1838)		NBNSYS0000011397										RedList_GB_post2001-NA														
mollusc	Abida secale	(Draparnaud, 1801)		NBNSYS0000006678										RedList_GB_post2001-LC			NS-includes											
mollusc	Acanthinula aculeata	(O. F. Müller, 1774)		NHMSYS0020528089										RedList_GB_post2001-LC														
mollusc	Acanthocardia aculeata	(Linnaeus, 1758)		NBNSYS0000173547														Marine-NR										
mollusc	Acicula fusca	(Montagu, 1803)		NBNSYS0000006618										RedList_GB_post2001-LC									NI_Priority					
mollusc	Acroloxus lacustris	(Linnaeus, 1758)		NHMSYS0001701871										RedList_GB_post2001-LC														
mollusc	Aegopinella nitidula	(Draparnaud, 1805)		NBNSYS0000006714										RedList_GB_post2001-LC														
mollusc	Aegopinella pura	(Alder, 1830)		NBNSYS0000006713										RedList_GB_post2001-LC														
mollusc	Aeolidiella sanguinea	(Norman, 1877)		NBNSYS0000173624														Marine-NR			Scottish_Biodiversity_List							
mollusc	Aldisa zetlandica	(Alder & Hancock, 1854)		NBNSYS0000173680																	Scottish_Biodiversity_List							
mollusc	Amauropsis islandica	(Gmelin, 1791)		NHMSYS0021055478																	Scottish_Biodiversity_List							
mollusc	Ambigolimax valentianus	(A. Férussac, 1822)		NHMSYS0021009894										RedList_GB_post2001-NA														
mollusc	Ampullaceana balthica	(Linnaeus, 1758)		NHMSYS0021342749										RedList_GB_post2001-LC														
mollusc	Ancylus fluviatilis	O. F. Müller, 1774		NHMSYS0020528096										RedList_GB_post2001-LC														
mollusc	Anisus (Anisus) leucostoma	(Millet, 1813)		NHMSYS0001701879										RedList_GB_post2001-LC														
mollusc	Anisus (Anisus) spirorbis	(Linnaeus, 1758)		NHMSYS0001703745										RedList_GB_post2001-DD														
mollusc	Anisus (Disculifer) vortex	(Linnaeus, 1758)		NHMSYS0001701882										RedList_GB_post2001-LC									NI_Priority					
mollusc	Anisus (Disculifer) vorticulus	(Troschel, 1834)		NHMSYS0001701883					HabDir-A2*,HabDir-A4					RedList_GB_post2001-VU			NR-includes		BAP-2007	England_NERC_S.41						HabReg-Sch2		
mollusc	Anodonta (Anodonta) anatina	(Linnaeus, 1758)		NHMSYS0001701887										RedList_GB_post2001-LC									NI_Priority					
mollusc	Anodonta (Anodonta) cygnea	(Linnaeus, 1758)		NHMSYS0001701888										RedList_GB_post2001-LC							Scottish_Biodiversity_List		NI_Priority					
mollusc	Aplexa hypnorum	(Linnaeus, 1758)		NHMSYS0001701890										RedList_GB_post2001-LC									NI_Priority					
mollusc	Arctica islandica	(Linnaeus, 1767)		NBNSYS0000173928				OSPAR														Env (Wales) Act S7						
mollusc	Arianta arbustorum	(Linnaeus, 1758)		NBNSYS0000006770										RedList_GB_post2001-LC									NI_Priority					
mollusc	Arion (Arion) ater	(Linnaeus, 1758)		NHMSYS0001701895										RedList_GB_post2001-DD														
mollusc	Arion (Arion) flagellus	Collinge, 1893		NHMSYS0001701896										RedList_GB_post2001-LC														
mollusc	Arion (Arion) rufus	(Linnaeus, 1758)		NHMSYS0001701897										RedList_GB_post2001-LC														
mollusc	Arion (Arion) vulgaris	Moquin-Tandon, 1855		NHMSYS0001701898										RedList_GB_post2001-LC														
mollusc	Arion (Carinarion) circumscriptus	Johnston, 1828		NHMSYS0001701900										RedList_GB_post2001-LC														
mollusc	Arion (Carinarion) circumscriptus silvaticus	Lohmander, 1937		NHMSYS0021009872										RedList_GB_post2001-LC														
mollusc	Arion (Carinarion) fasciatus	(Nilsson, 1823)		NHMSYS0001701901										RedList_GB_post2001-LC														
mollusc	Arion (Kobeltia) distinctus	J. Mabille, 1868		NHMSYS0020528110										RedList_GB_post2001-LC														
mollusc	Arion (Kobeltia) hortensis	A. Férussac, 1819		NHMSYS0020528111										RedList_GB_post2001-LC							Scottish_Biodiversity_List							
mollusc	Arion (Kobeltia) intermedius	Normand, 1852		NHMSYS0001701906										RedList_GB_post2001-LC														
mollusc	Arion (Kobeltia) owenii	Davies, 1979		NHMSYS0001701908										RedList_GB_post2001-LC														
mollusc	Arion (Mesarion) subfuscus	(Draparnaud, 1805)		NHMSYS0001701911										RedList_GB_post2001-LC														
mollusc	Ashfordia granulata	(Alder, 1830)		NBNSYS0000006760										RedList_GB_post2001-LC														
mollusc	Assiminea grayana	Fleming, 1828		NBNSYS0000006617										RedList_GB_post2001-LC			NS-includes											
mollusc	Atagema gibba	Pruvot-Fol, 1951		NBNSYS0000188545														Marine-NR										
mollusc	Atrina fragilis	(Pennant, 1777)		NBNSYS0000040786															BAP-2007	England_NERC_S.41	Scottish_Biodiversity_List	Env (Wales) Act S7	NI_Priority	WACA-Sch5_sect9.1(kill/injuring),WACA-Sch5_sect9.1(taking),WACA-Sch5_sect9.2,WACA-Sch5_sect9.5a				
mollusc	Azeca goodalli	(A. Férussac, 1821)		NHMSYS0020528119										RedList_GB_post2001-LC							Scottish_Biodiversity_List							
mollusc	Backeljaia gigaxii	(L. Pfeiffer, 1847)		NHMSYS0021311632										RedList_GB_post2001-LC			NS-includes				Scottish_Biodiversity_List							
mollusc	Balea (Alinda) biplicata	(Montagu, 1803)		NHMSYS0001701922										RedList_GB_post2001-VU			NR-includes											
mollusc	Balea (Balea) perversa	(Linnaeus, 1758)		NHMSYS0001701925										RedList_GB_post2001-LC									NI_Priority					
mollusc	Balea (Balea) sarsii	Pfeiffer, 1847		NHMSYS0021109153										RedList_GB_post2001-LC														
mollusc	Bathyomphalus contortus	(Linnaeus, 1758)		NHMSYS0001701927										RedList_GB_post2001-LC														
mollusc	Bithynia leachii	(Sheppard, 1823)		NBNSYS0000006616							RedList_Global_post2001-LC			RedList_GB_post2001-LC														
mollusc	Bithynia tentaculata	(Linnaeus, 1758)		NHMSYS0021055580										RedList_GB_post2001-LC														
mollusc	Bittium simplex	(Jeffreys, 1867)		NBNSYS0000178676														Marine-NR										
mollusc	Boettgerilla pallens	Simroth, 1912		NBNSYS0000006725										RedList_GB_post2001-NA														
mollusc	Buccinum humphreysianum	Bennet, 1824		NHMSYS0021055651																	Scottish_Biodiversity_List							
mollusc	Caecum armoricum	de Folin, 1869		NHMSYS0021055584														Marine-NR						WACA-Sch5_sect9.1(kill/injuring),WACA-Sch5_sect9.1(taking),WACA-Sch5_sect9.2,WACA-Sch5_sect9.4.a,WACA-Sch5_sect9.4b,WACA-Sch5_sect9.5a,WACA-Sch5Sect9.4c				
mollusc	Calliopaea bellula	d'Orbigny, 1837		NHMSYS0021056298														Marine-NR										
mollusc	Callista chione	(Linnaeus, 1758)		NBNSYS0000174280														Marine-NR										
mollusc	Caloria elegans	(Alder & Hancock, 1845)		NBNSYS0000174310														Marine-NR										
mollusc	Capellinia fustifera	(Lovén, 1846)		NHMSYS0021324486																	Scottish_Biodiversity_List		NI_Priority					
mollusc	Carychium minimum	O. F. Müller, 1774		NHMSYS0020528130										RedList_GB_post2001-LC														
mollusc	Carychium tridentatum	(Risso, 1826)		NBNSYS0000006621										RedList_GB_post2001-LC														
mollusc	Cecilioides (Cecilioides) acicula	(O. F. Müller, 1774)		NHMSYS0020528133										RedList_GB_post2001-LC							Scottish_Biodiversity_List							
mollusc	Cepaea (Cepaea) hortensis	(O. F. Müller, 1774)		NHMSYS0020528135										RedList_GB_post2001-LC														
mollusc	Cepaea (Cepaea) nemoralis	(Linnaeus, 1758)		NHMSYS0001701949										RedList_GB_post2001-LC														
mollusc	Cerastoderma glaucum	(Bruguière, 1789)		NHMSYS0021054708																			NI_Priority					
mollusc	Ceratia proxima	(Forbes & Hanley, 1850)		NBNSYS0000174435																	Scottish_Biodiversity_List							
mollusc	Cernuella (Cernuella) aginnica	(Locard, 1894)		NHMSYS0020826425										RedList_GB_post2001-DD														
mollusc	Cernuella (Cernuella) virgata	(Da Costa, 1778)		NHMSYS0001701953										RedList_GB_post2001-LC														
mollusc	Cernuella (Xerocincta) neglecta	(Draparnaud, 1805)		NHMSYS0001701955										RedList_GB_post2001-NA														
mollusc	Chrysallida truncatula	(Jeffreys, 1850)		NHMSYS0021055926														Marine-NR										
mollusc	Circulus striatus	(Philippi, 1836)		NBNSYS0000188535														Marine-NR										
mollusc	Clausilia (Andraea) dubia	Draparnaud, 1805		NHMSYS0001701959										RedList_GB_post2001-LC			NS-includes											
mollusc	Clausilia (Clausilia) bidentata	(Ström, 1765)		NHMSYS0001701961										RedList_GB_post2001-LC														
mollusc	Cochlicella (Cochlicella) acuta	(O. F. Müller, 1774)		NHMSYS0020528143										RedList_GB_post2001-LC														
mollusc	Cochlicella (Prietocella) barbara	(Linnaeus, 1758)		NHMSYS0001701967										RedList_GB_post2001-NA														
mollusc	Cochlicopa cf. lubrica	(O. F. Müller, 1774)	sensu Anderson 2008	NHMSYS0020528146										RedList_GB_post2001-LC														
mollusc	Cochlicopa cf. lubricella	(Rossmässler, 1834)	sensu Anderson 2008	NHMSYS0001701971										RedList_GB_post2001-LC														
mollusc	Cochlodina (Cochlodina) laminata	(Montagu, 1803)		NHMSYS0001701975										RedList_GB_post2001-LC							Scottish_Biodiversity_List		NI_Priority					
mollusc	Columella aspera	Waldén, 1966		NHMSYS0001701977										RedList_GB_post2001-LC														
mollusc	Columella edentula	(Draparnaud, 1805)		NBNSYS0100002543										RedList_GB_post2001-LC														
mollusc	Corbicula fluminea	(O. F. Müller, 1774)		NHMSYS0020528151										RedList_GB_post2001-NA														
mollusc	Cornu aspersum	(O. F. Müller, 1774)		NHMSYS0020528153										RedList_GB_post2001-LC														
mollusc	Cumanotus beaumonti	(Eliot, 1906)		NBNSYS0000174799																			NI_Priority					
mollusc	Deroceras (Deroceras) agreste	(Linnaeus, 1758)		NHMSYS0001701986										RedList_GB_post2001-LC														
mollusc	Deroceras (Deroceras) invadens	Reise, Hutchinson, Schunack & Schlitt, 2011		NHMSYS0021009932										RedList_GB_post2001-LC														
mollusc	Deroceras (Deroceras) laeve	(O. F. Müller, 1774)		NHMSYS0020528154										RedList_GB_post2001-LC														
mollusc	Deroceras (Deroceras) reticulatum	(O. F. Müller, 1774)		NHMSYS0020528155										RedList_GB_post2001-LC														
mollusc	Devonia perrieri	(Malard, 1904)		NBNSYS0000174900																	Scottish_Biodiversity_List							
mollusc	Discus (Gonyodiscus) rotundatus	(Müller, 1774)		NHMSYS0001701992										RedList_GB_post2001-LC														
mollusc	Doris sticta	(Iredale & O'Donoghue, 1923)		NBNSYS0000175003														Marine-NS										
mollusc	Dreissena polymorpha	(Pallas, 1771)		NBNSYS0000006809										RedList_GB_post2001-NA														
mollusc	Duvaucelia odhneri	J. Tardy, 1963		NHMSYS0021457344														Marine-NS										
mollusc	Ecrobia ventrosa	(Montagu, 1803)		NHMSYS0021055595										RedList_GB_post2001-LC			NS-includes				Scottish_Biodiversity_List		NI_Priority					
